#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
-0.90,0.15,11.90, 0.08,-0.03,0.03
-0.85,0.13,11.54, -0.21,-0.02,0.01
-0.61,0.08,8.94, -0.10,-0.03,0.02
-0.75,0.12,10.53, 0.11,-0.03,0.03
-0.88,0.16,12.24, -0.08,-0.03,0.02
-0.65,0.12,9.78, -0.20,-0.02,0.01
-0.62,0.10,9.43, 0.05,-0.03,0.03
-0.87,0.12,11.83, 0.04,-0.03,0.03
-0.82,0.13,11.12, -0.19,-0.02,0.01
-0.62,0.09,9.21, -0.07,-0.03,0.02
-0.76,0.11,10.86, 0.08,-0.03,0.03
-0.84,0.16,11.77, -0.10,-0.03,0.02
-0.66,0.11,9.71, -0.15,-0.02,0.01
-0.67,0.10,9.91, 0.05,-0.03,0.03
-0.89,0.13,11.71, -0.00,-0.03,0.03
-0.77,0.13,10.68, -0.17,-0.02,0.01
-0.65,0.08,9.49, -0.04,-0.03,0.02
-0.83,0.11,11.10, 0.05,-0.03,0.03
-0.82,0.16,11.40, -0.12,-0.03,0.01
-0.65,0.13,9.70, -0.12,-0.03,0.02
-0.71,0.13,10.29, 0.04,-0.03,0.03
-0.86,0.14,11.57, -0.04,-0.03,0.02
-0.72,0.11,10.35, -0.14,-0.03,0.01
-0.68,0.11,9.80, -0.01,-0.03,0.02
-0.83,0.14,11.25, 0.01,-0.03,0.03
-0.78,0.12,11.05, -0.13,-0.03,0.01
-0.67,0.10,9.70, -0.08,-0.03,0.02
-0.76,0.11,10.71, 0.03,-0.03,0.03
-0.80,0.17,11.41, -0.08,-0.03,0.02
-0.67,0.13,10.15, -0.13,-0.03,0.01
-0.68,0.11,10.05, 0.00,-0.03,0.02
-0.82,0.13,11.29, -0.02,-0.03,0.02
-0.74,0.13,10.70, -0.13,-0.02,0.01
-0.68,0.11,9.78, -0.05,-0.03,0.02
-0.81,0.14,10.87, 0.02,-0.03,0.03
-0.81,0.13,11.19, -0.10,-0.03,0.02
-0.72,0.12,10.03, -0.10,-0.03,0.02
-0.75,0.12,10.39, 0.01,-0.03,0.03
-0.82,0.15,11.27, -0.05,-0.03,0.02
-0.74,0.12,10.42, -0.12,-0.03,0.02
-0.68,0.12,10.03, -0.02,-0.03,0.02
-0.79,0.13,11.04, -0.02,-0.03,0.02
-0.78,0.13,10.83, -0.11,-0.03,0.02
-0.68,0.10,9.99, -0.06,-0.03,0.02
-0.74,0.14,10.66, 0.00,-0.03,0.03
-0.80,0.13,11.11, -0.07,-0.03,0.02
-0.69,0.11,10.23, -0.10,-0.03,0.02
-0.71,0.11,10.28, -0.01,-0.03,0.02
-0.81,0.13,11.10, -0.04,-0.03,0.02
-0.75,0.11,10.58, -0.11,-0.03,0.02
-0.72,0.10,10.13, -0.05,-0.03,0.02
-0.77,0.13,10.84, -0.02,-0.03,0.02
-0.80,0.11,10.84, -0.09,-0.03,0.02
-0.71,0.12,10.20, -0.07,-0.03,0.02
-0.75,0.13,10.60, -0.01,-0.03,0.02
-0.79,0.14,11.02, -0.07,-0.03,0.02
-0.73,0.11,10.35, -0.09,-0.03,0.02
-0.73,0.12,10.30, -0.02,-0.03,0.02
-0.77,0.11,10.97, -0.04,-0.03,0.02
-0.77,0.13,10.64, -0.09,-0.03,0.02
-0.72,0.11,10.22, -0.05,-0.03,0.02
-0.80,0.13,10.81, -0.02,-0.03,0.02
-0.80,0.16,10.85, -0.08,-0.03,0.02
-0.73,0.10,10.25, -0.08,-0.03,0.02
